claim_id,capsule_id,claim_type,clinical_validity,criticality,source_version_ids,source_version_fk_status,locator_count,evidence_locator_status,detector_linked_occurrences,detector_linkage_status,coverage_interpretation
claim:asth.under5-doses,capsule:eisca:asma_em_pediatria,dose,quarantined,high,source-version:gina.strategy.2026,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:bf.duration,capsule:eisca:aleitamento_materno,guideline_dependent,current,high,source-version:who.iycf.2026-08-04,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:bf.hiv-htlv,capsule:eisca:aleitamento_materno,contraindication,current,high,source-version:ms.htlv.current,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:bf.medicines,capsule:eisca:aleitamento_materno,contraindication,quarantined,high,source-version:ms.aleitamento.current,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:clo.anc-us,capsule:eism:antipsicoticos_sep_e_snm,guideline_dependent,quarantined,high,source-version:fda.clozapine-label.2025,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:clo.rems-us,capsule:eism:antipsicoticos_sep_e_snm,guideline_dependent,quarantined,high,source-version:fda.clozapine-rems.2025-06-13,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:clo.thresholds-us,capsule:eism:antipsicoticos_sep_e_snm,threshold,quarantined,high,source-version:fda.clozapine-label.2025,complete,1,complete,1,linked,registry claim and lexical occurrence linkage are both present
claim:diarreia-planos.classificacao-por-contagem-sinais,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,threshold,current,high,source-version:sbp.diarreia-aguda-infecciosa.2022-2024,complete,1,complete,18,linked,registry claim and lexical occurrence linkage are both present
claim:diarreia-planos.definicao-e-duracao,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,threshold,current,medium,source-version:sbp.diarreia-aguda-infecciosa.2022-2024,complete,1,complete,6,linked,registry claim and lexical occurrence linkage are both present
claim:diarreia-planos.ondansetrona-dose-idade,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,dose,current,high,source-version:rio-saude.protocolo-dda.2025-09 source-version:sbp.diarreia-aguda-infecciosa.2022-2024,complete,2,complete,2,linked,registry claim and lexical occurrence linkage are both present
claim:diarreia-planos.osmolaridade-sro,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,concentration,current,medium,source-version:sbp.diarreia-aguda-infecciosa.2022-2024,complete,1,complete,1,linked,registry claim and lexical occurrence linkage are both present
claim:diarreia-planos.plano-b-volume-e-falha-6h,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,treatment_sequence,current,high,source-version:rio-saude.protocolo-dda.2025-09 source-version:sbp.diarreia-aguda-infecciosa.2022-2024,complete,2,complete,13,linked,registry claim and lexical occurrence linkage are both present
claim:diarreia-planos.plano-c-expansao-por-idade,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,dose,current,high,source-version:sbp.diarreia-aguda-infecciosa.2022-2024,complete,1,complete,27,linked,registry claim and lexical occurrence linkage are both present
claim:diarreia-planos.zinco-dose-idade,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,dose,current,high,source-version:sbp.diarreia-aguda-infecciosa.2022-2024,complete,1,complete,9,linked,registry claim and lexical occurrence linkage are both present
claim:li.charcoal,capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,contraindication,current,high,source-version:extrip.lithium.2015,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:li.ectr-recommended,capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,threshold,current,high,source-version:extrip.lithium.2015,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:li.ectr-suggested,capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,threshold,current,high,source-version:extrip.lithium.2015,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:li.stop-rebound,capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,treatment_sequence,current,high,source-version:extrip.lithium.2015,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:nr.compressions-epinephrine,capsule:eisca:assistencia_rn_sala_parto_reanimacao_neonatal,treatment_sequence,current,high,source-version:sbp.prn.rn34.2026-06-12,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:nr.good-vitality,capsule:eisca:assistencia_rn_sala_parto_reanimacao_neonatal,other,current,high,source-version:sbp.prn.rn34.2026-06-12,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:nr.oxygen,capsule:eisca:assistencia_rn_sala_parto_reanimacao_neonatal,concentration,current,high,source-version:sbp.prn.rn34.2026-06-12,complete,1,complete,1,linked,registry claim and lexical occurrence linkage are both present
claim:nr.vpp,capsule:eisca:assistencia_rn_sala_parto_reanimacao_neonatal,treatment_sequence,current,high,source-version:sbp.prn.rn34.2026-06-12,complete,1,complete,6,linked,registry claim and lexical occurrence linkage are both present
claim:osce.synthetic-rubric,capsule:osce:formato_roteiro_osce_p7,other,quarantined,high,source-version:curricular.osce.general,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:se.benzodiazepine,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,dose,current,high,source-version:ilae.status-pocket.2026,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:se.fosphenytoin-esett,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,dose,current,high,source-version:esett.2019,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:se.fosphenytoin-ilae,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,dose,current,high,source-version:ilae.status-pocket.2026,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:se.refractory,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,emergency,current,high,source-version:ilae.status-pocket.2026,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:se.second-line,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,treatment_sequence,current,high,source-version:ilae.status-pocket.2026,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:se.threshold,capsule:eisa_ii:estado_de_mal_epileptico_sequencia_doses,threshold,current,high,source-version:ilae.status-pocket.2026,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:sem.vitals,capsule:eisca:semiologia_pediatrica,threshold,quarantined,high,source-version:curricular.semio-ped.c241597932,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:sepse-neonatal.amniorrexe-fator-risco-maior,capsule:eisca:sepse_e_meningite_neonatal,threshold,current,high,source-version:sprs.boletim.sepse-neonatal.2012-v1n1,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:sepse-neonatal.esquema-empirico-precoce,capsule:eisca:sepse_e_meningite_neonatal,treatment_sequence,current,high,source-version:sprs.boletim.sepse-neonatal.2012-v1n1,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:sepse-neonatal.febre-materna-limiar,capsule:eisca:sepse_e_meningite_neonatal,threshold,conflict,medium,source-version:sprs.boletim.sepse-neonatal.2012-v1n1,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:sepse-neonatal.janela-precoce-tardia,capsule:eisca:sepse_e_meningite_neonatal,time_window,current,high,source-version:sprs.boletim.sepse-neonatal.2012-v1n1,complete,1,complete,0,not_linked_known_temporal_token_limit,claim is registered; detector linkage is absent because bare temporal values are intentionally excluded by the frozen conservative matcher
claim:thi.glucose-order,capsule:eism:abstinencia_alcoolica_delirium_tremens_wernicke,treatment_sequence,current,high,source-version:asam.alcohol-withdrawal.2020,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:thi.glucose-order-coma,capsule:eisa_ii:coma_e_rebaixamento_do_nivel_de_consciencia,treatment_sequence,current,high,source-version:asam.alcohol-withdrawal.2020,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:thi.prophylaxis,capsule:eism:abstinencia_alcoolica_delirium_tremens_wernicke,dose,current,high,source-version:asam.alcohol-withdrawal.2020,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:thi.wernicke-high-dose,capsule:eism:abstinencia_alcoolica_delirium_tremens_wernicke,dose,quarantined,high,source-version:asam.alcohol-withdrawal.2020,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:vac.dengue,capsule:eisca:imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva,time_window,current,high,source-version:ms.cnv.2026,complete,1,complete,0,not_linked_known_temporal_token_limit,claim is registered; detector linkage is absent because bare temporal values are intentionally excluded by the frozen conservative matcher
claim:vac.hpv,capsule:eisca:imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva,time_window,current,high,source-version:ms.cnv.2026,complete,1,complete,0,not_linked_known_temporal_token_limit,claim is registered; detector linkage is absent because bare temporal values are intentionally excluded by the frozen conservative matcher
claim:vac.meningococcal,capsule:eisca:imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva,treatment_sequence,current,high,source-version:ms.cnv.2026,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
claim:vac.pneumococcal,capsule:eisca:imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva,guideline_dependent,current,high,source-version:ms.cnv.2026,complete,1,complete,0,not_linked_conservative,"claim is registered; no material detector linkage was inferred, which is not evidence that the claim is absent"
