capsule_path,section_row,claim_text,source_ids
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,7,"Diarreia crônica | >4 semanas (Abordagem às diarreias usa >30 dias) | Casos_Clinicos_P7_1 p.5; Abordagem_a_s_diarreias p.1 | CORRIGIDO — pequena divergência entre fontes (>4 semanas vs >30 dias); ambas equivalem a ~1 mês, sem contradição prática",
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,8,"Mecanismos de diarreia crônica | secretora, osmótica, esteatorreica, inflamatória, distúrbio de motilidade, factícia, iatrogênica | Casos_Clinicos_P7_1 p.6 | CONFIRMADO",
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,9,"Diarreia osmótica — comportamento | cessa com jejum ou suspensão do agente causador (laxantes osmóticos, intolerância a glúten/lactose) | Casos_Clinicos_P7_1 p.6 | CONFIRMADO",
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,10,"Diarreia secretora — comportamento | persiste com o jejum, fezes aquosas volumosas e indolores | Casos_Clinicos_P7_1 p.6 | CONFIRMADO",
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,11,"Anticorpos para doença celíaca | anti-gliadina IgA, anti-endomísio IgA, anti-transglutaminase IgA — todos podem vir normais/negativos sem excluir o diagnóstico | Casos_Clinicos_P7_1 p.5 | CONFIRMADO",
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,12,Confirmação de doença celíaca | EDA com biópsia duodenal: atrofia de vilosidades + hiperplasia de criptas + aumento de linfócitos | Casos_Clinicos_P7_1 p.5; Abordagem_a_s_diarreias p.257 (linha) | CONFIRMADO,
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,13,"Esteatorreia e doença celíaca | doença celíaca não é comumente associada a esteatorreia franca (nota do professor no caso) | Casos_Clinicos_P7_1 p.5 | CONFIRMADO_COM_RESSALVA — anotação do aluno no slide; tratado como pegadinha pedagógica, não como regra absoluta de livro-texto",
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,14,Sinais de alarme em diarreia crônica | idade de início >50 anos; sangramento retal/melena; dor noturna ou que acorda o paciente; dor abdominal progressiva; perda de peso inexplicável/febre; anemia ferropriva; PCR ou calprotectina fecal elevadas; história familiar de DII ou câncer colorretal | Casos_Clinicos_P7_1 p.6 | CONFIRMADO,
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,15,"Indicação de exames na diarreia aguda | diarreia sanguinolenta, febre>38,5°C, >6 dejeções/dia, duração>48h, dor abdominal severa, idosos/imunodeprimidos | CASOS_CLINICOS_RESUMO | CONFIRMADO",
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,16,"ATB empírico na diarreia aguda | quinolona oral (ciprofloxacino 500mg 12/12h ou levofloxacino 500mg/dia) 3-5 dias, só nos casos graves | CASOS_CLINICOS_RESUMO | CONFIRMADO",
capsules/CASOS_CLINICOS/abordagem_diarreia_aguda_cronica.md,17,ATB na diarreia com sangue + comprometimento sistêmico (protocolo MS) | azitromicina (crianças) ou ciprofloxacino/ceftriaxona (>10 anos/adultos) | manejo_do_paciente_com_diarreia p.1 | CONFIRMADO,
capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,4,"Mnemônico de sinais de alarme | SNOOP4 — Sistêmico, Neurológico (déficit focal/papiledema/convulsão), Older (>50a), Onset súbito/1ª cefaleia, Pattern (mudança de padrão/refratária), + Positional/Prior history/Pregnancy/Precipitated by Valsalva | FACILITA_OSCE l.80-93; Cópia faculdade l.171-183 | CONFIRMADO",
capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,5,"Critérios de enxaqueca | ≥5 crises, 4-72h, ≥2 de (unilateral/pulsátil/moderada-severa/piora esforço) + ≥1 de (náusea/vômito ou foto/fonofobia) | FACILITA_OSCE l.96-119; Cópia faculdade l.112-121 | CONFIRMADO",
capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,6,"Critérios de cefaleia tensional | ≥10 crises, 30min-7dias, bilateral, aperto/pressão, leve-moderada, não piora com esforço | FACILITA_OSCE l.132-146 | CONFIRMADO",
capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,7,"Critérios de cefaleia em salvas | ≥5 crises, 15-180min, orbitária/supraorbitária/temporal unilateral, 1-8 crises/dia, ≥1 sinal autonômico ipsilateral (lacrimejamento, congestão nasal, edema palpebral, miose/ptose) | FACILITA_OSCE l.148-163; Cópia faculdade l.144-151 | CONFIRMADO",
capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,8,Tratamento agudo da enxaqueca | analgésicos comuns/AINE (leve) → triptano (sumatriptano+cetorolaco); antiemético; refratária: dexametasona+clorpromazina | FACILITA_OSCE l.102-107 | CONFIRMADO,
capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,9,Profilaxia da enxaqueca — critério de início | ≥3 crises/mês sem resposta a abortivo OU ≥6 crises/mês com resposta a abortivo | FACILITA_OSCE l.121-122 | CONFIRMADO,
capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,10,"Drogas de profilaxia de enxaqueca | amitriptilina/venlafaxina; valproato/topiramato; betabloqueador (metoprolol/propranolol/timolol); anti-CGRP (erenumabe, fremanezumabe, galcanezumabe) | FACILITA_OSCE l.125-128 | CONFIRMADO",
capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,11,Tratamento da crise de cefaleia em salvas | oxigênio 100% >12L/min por 15min OU triptano (SC/spray nasal); profilaxia com verapamil (ou lítio) | FACILITA_OSCE l.188-193; Cópia faculdade l.156-158 | CONFIRMADO,
capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,12,Cefaleia thunderclap — conduta | TC crânio sem contraste; se normal e suspeita mantida → punção lombar; achado positivo → arteriografia (angioTC/angioRM) | FACILITA_OSCE l.176-228 | CONFIRMADO,
capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,13,"Achado de líquor em HSA | xantocrômico (amarelado) ou eritrocrômico; hemácias presentes | FACILITA_OSCE l.201-227; Casos_Clinicos_P7_1 p.10 (Hb, proteína 45, xantocromia) | CONFIRMADO",
capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,14,"Tabela de cefaleias secundárias (meningite/HSA/tumor/arterite temporal/glaucoma) | meningite: leucocitose+LCR glicose↓lactato↑→ATB; HSA: LCR hemácias+/proteína↑, TC normal ou sangramento→controle PA/DVE; tumor: TC tumor→cirurgia/QT/RT; arterite temporal: leucocitose/VHS↑→biópsia/AAS-prednisona; glaucoma: PIO↑→controle PA e PIO | Casos_Clinicos_P7_1 p.12 | CONFIRMADO",
capsules/CASOS_CLINICOS/cefaleias_classificacao_sinais_alarme.md,15,Arterite de células temporais | idade>50a; cefaleia+amaurose fugaz+claudicação mandibular+polimialgia; VHS/PCR/biópsia artéria temporal; tratamento corticoide alta dose | FACILITA_OSCE l.249-260 | CONFIRMADO,
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,4,"GASA transudato (hipertensão porta) | ≥1,1 g/dL | Casos_Clinicos_P7_1 p.3; CASOS_CLINICOS_RESUMO | CONFIRMADO",
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,5,"GASA exsudato (doença peritoneal) | <1,1 g/dL | Casos_Clinicos_P7_1 p.3 | CONFIRMADO",
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,6,"Refinamento por proteína do líquido ascítico | ≥2,5 g/dL + GASA≥1,1 = cardiogênica; <2,5 + GASA≥1,1 = cirrose; ≥2,5 + GASA<1,1 = neoplasia/TB/pancreática; <2,5 + GASA<1,1 = síndrome nefrótica | Casos_Clinicos_P7_1 p.18 | CONFIRMADO",
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,7,"PBE — critério diagnóstico | PMN ≥250/mm³ no líquido ascítico, cultura monobacteriana | Casos_Clinicos_P7_1 p.3, p.18; CASOS_CLINICOS_RESUMO | CONFIRMADO",
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,8,"Bacterascite (variante) | PMN <250/mm³ + cultura positiva; costuma resolver espontaneamente, sem ATB se assintomático | Casos_Clinicos_P7_1 p.19 | CONFIRMADO",
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,9,Ascite neutrofílica (variante) | PMN >250/mm³ + cultura negativa; tratar como PBE (culturas negativas não isentam o tratamento) | Casos_Clinicos_P7_1 p.19 | CONFIRMADO,
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,10,Tratamento da PBE | cefalosporina de 3ª geração (ceftriaxona) ou amoxicilina+clavulanato | Casos_Clinicos_P7_1 p.18 | CONFIRMADO,
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,11,"Profilaxia primária da PBE | Cr≥1,2 mg/dL (ou ureia>53,5) ou Na≤130 mEq/L; OU Child-Pugh≥9 pontos + bilirrubina total≥3 mg/dL; droga de escolha norfloxacino | Casos_Clinicos_P7_1 p.18 | CONFIRMADO",
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,12,Profilaxia secundária da PBE | indicada após todo episódio de PBE | Casos_Clinicos_P7_1 p.18 | CONFIRMADO,
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,13,Local de escolha da paracentese | quadrante inferior esquerdo (QIE) — menor risco por sigmoide mais móvel que ceco | Casos_Clinicos_P7_1 p.18 | CONFIRMADO,
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,14,Reposição de albumina em paracentese de alto volume | 6–8g de albumina por litro de ascite retirado quando volume >5L | Casos_Clinicos_P7_1 p.18 | CONFIRMADO,
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,15,"Esquema diurético clássico | espironolactona 100mg + furosemida 40mg dose única matinal, escalonar a cada 3-5 dias mantendo proporção 100:40, dose máx 400mg/160mg | Casos_Clinicos_P7_1 p.3, p.18 | CONFIRMADO",
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,16,"Meta de perda de peso com diurético | 0,5 a 1 kg/dia | Casos_Clinicos_P7_1 p.3, p.18 | CONFIRMADO",
capsules/CASOS_CLINICOS/cirrose_hepatica_ascite_pbe.md,17,"Estadiamento de gravidade da cirrose (compensada/descompensada, mortalidade por estágio) | conteúdo do slide riscado pelo aluno, com nota ""ver no material"" | Casos_Clinicos_P7_1 p.2 | confirmar no slide (professor indicou não decorar dessa tela; conferir material complementar)",
capsules/CASOS_CLINICOS/colite_pseudomembranosa.md,4,"Definição e agente etiológico | diarreia causada por toxinas bacterianas; agente = *Clostridium difficile* ou *Clostridioides difficile* | `Abordagem às diarreias.pdf`, p.24 (imagem) | CONFIRMADO",
capsules/CASOS_CLINICOS/colite_pseudomembranosa.md,5,"Quadro clínico | diarreia, febre, dor abdominal, colite | `Abordagem às diarreias.pdf`, p.25 (imagem) | CONFIRMADO",
capsules/CASOS_CLINICOS/colite_pseudomembranosa.md,6,"Paciente clássico | idoso, uso recente de antibiótico, cirurgia abdominal prévia, uso de sonda nasoenteral (SNE) | `Abordagem às diarreias.pdf`, p.25 (imagem) | CONFIRMADO",
capsules/CASOS_CLINICOS/colite_pseudomembranosa.md,7,"Antibióticos classicamente gatilho (""CFC"") | clindamicina (principal), fluoroquinolonas e cefalosporinas — qualquer antibiótico pode desencadear o quadro, mas esses três são os classicamente mais associados | `Abordagem às diarreias.pdf`, p.25 (imagem) | CONFIRMADO",
capsules/CASOS_CLINICOS/colite_pseudomembranosa.md,8,"Diagnóstico laboratorial/endoscópico | pesquisa de toxina A e B (ELISA e PCR); coprocultura; colonoscopia mostrando pseudomembranas amarelo-esbranquiçadas | `Abordagem às diarreias.pdf`, p.26 (imagem, inclui foto de colonoscopia) | CONFIRMADO",
capsules/CASOS_CLINICOS/colite_pseudomembranosa.md,9,GDH (glutamato desidrogenase) | usado como teste de triagem em algoritmo diagnóstico de 2 etapas (GDH de alta sensibilidade + toxina/NAAT confirmatório de alta especificidade) — não citado na fonte B disponível | conhecimento geral (ausente da fonte) | conhecimento geral,
capsules/CASOS_CLINICOS/colite_pseudomembranosa.md,10,"Janela de risco pós-antibiótico | o quadro pode surgir até 8-10 semanas após a suspensão do antibiótico gatilho, mesmo sem uso atual | conhecimento geral (ausente da fonte) | conhecimento geral",
capsules/CASOS_CLINICOS/colite_pseudomembranosa.md,11,"Tratamento conforme a fonte B (desatualizado) | vancomicina VO 125mg 6/6h; metronidazol VO 500mg 8/8h listado como opção equivalente; fidaxomicina se recorrência; se grave/septicemia: vancomicina VO + metronidazol EV; transplante de microbiota fecal para casos recorrentes | `Abordagem às diarreias.pdf`, p.27 (imagem) | CORRIGIDO — ver linha abaixo",
capsules/CASOS_CLINICOS/colite_pseudomembranosa.md,12,"Tratamento atualizado (1ª linha atual, conhecimento geral equivalente a A') | vancomicina VO 125mg 6/6h por 10 dias OU fidaxomicina 200mg 12/12h por 10 dias para episódio inicial (não-grave e grave); metronidazol reservado a casos não-graves quando as duas opções acima estão indisponíveis, ou associado por via EV à vancomicina VO em quadro fulminante/complicado; recorrência: fidaxomicina preferencial ou vancomicina em esquema prolongado/pulsado; recorrências múltiplas: transplante de microbiota fecal | conhecimento geral (diretriz IDSA/SHEA 2021) — diverge da fonte B, que trata metronidazol como 1ª linha equivalente | CORRIGIDO",
capsules/CASOS_CLINICOS/colite_pseudomembranosa.md,13,"Antiperistáltico | contraindicado — risco de precipitar megacólon tóxico; não citado explicitamente na fonte B disponível, incluído por ser ponto de altíssima cobrança e de segurança clínica | conhecimento geral (ausente da fonte) | conhecimento geral",
capsules/CASOS_CLINICOS/doenca_celiaca.md,4,"Definição | enteropatia induzida pelo glúten; doença autoimune permanente (evitar glúten para sempre) | Abordagem às diarreias, linha 223-226 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_celiaca.md,5,"Marcadores genéticos | HLA-DQ2 em 95% dos casos; HLA-DQ8 em 5% | Abordagem às diarreias, linha 227 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_celiaca.md,6,"Paciente típico | <10% dos casos; criança <5 anos, com anemia ferropriva refratária | Abordagem às diarreias, linha 233-234 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_celiaca.md,7,"Quadro clássico | diarreia crônica com esteatorreia; síndrome de má absorção (perda de crescimento pondero-estatural, deficiência de ferro, B12 e cálcio) | Abordagem às diarreias, linha 235-237 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_celiaca.md,8,"Apresentação predominante | oligossintomática em 90% dos casos | Abordagem às diarreias, linha 238 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_celiaca.md,9,"Manifestações extraintestinais | depressão, fadiga, infertilidade; dermatite herpetiforme (patognomônica, lesões em faces extensoras de membros) | Abordagem às diarreias, linha 242-247 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_celiaca.md,10,"Diagnóstico sorológico | anti-transglutaminase tecidual IgA (sensível) + IgA sérica total; anti-endomísio (específico) | Abordagem às diarreias, linha 250-255 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_celiaca.md,11,"Diagnóstico definitivo | EDA com biópsia — atrofia de vilosidades + hiperplasia de criptas | Abordagem às diarreias, linha 256-257 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_celiaca.md,12,"Reversão após dieta | achados endoscópicos revertem após 3-12 meses sem glúten | Abordagem às diarreias, linha 258 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_celiaca.md,13,"Manejo | dieta isenta de glúten e evitar contaminação cruzada; avaliar complicações/deficiências nutricionais; investigar doenças autoimunes associadas (Hashimoto, DM1, vitiligo); avaliar intolerância à lactose concomitante | Abordagem às diarreias, linha 262-266 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_celiaca.md,14,"Risco oncológico | linfoma (18%) e câncer gastrointestinal | Abordagem às diarreias, linha 267 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa.md,4,"Definição de DII | doenças com caráter inflamatório: sangue e/ou muco nas fezes, podendo haver febre, perda de peso e dor abdominal | Abordagem às diarreias, linha 108-111 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa.md,5,"Epidemiologia | até 20% dos casos ficam como colite indeterminada; pico bimodal: 15-40 anos (1º pico) e 50-80 anos (2º pico); fator genético importante | Abordagem às diarreias, linha 112-116 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa.md,6,"RCU — características | doença colônica (reto e sigmoide de início), padrão contínuo e ascendente, restrita à mucosa (não causa estenose/fístula), megacólon tóxico como complicação, pseudopólipos comuns, histologia com criptite | Abordagem às diarreias, linha 119-127 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa.md,7,"DC — características | qualquer parte do TGI (boca ao ânus), mais comum em íleo terminal, padrão salteado, acometimento transmural (causa fístulas e estenoses), histologia com granulomas não caseosos | Abordagem às diarreias, linha 130-136 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa.md,8,"Manifestações extraintestinais relacionadas à atividade da doença | episclerite; eritema nodoso | Abordagem às diarreias, linha 140-143 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa.md,9,"Manifestações extraintestinais sem relação com atividade | pioderma gangrenoso; colangite esclerosante primária; espondilite anquilosante/artralgias; uveíte | Abordagem às diarreias, linha 144-148 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa.md,10,"Diagnóstico | PCR, VHS e calprotectina fecal aumentados (ambas); ASCA (DC); p-ANCA (RCU); colonoscopia como exame principal; EDA em pediatria e na DC | Abordagem às diarreias, linha 152-157 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa.md,11,"Tratamento medicamentoso | 5-ASA (sulfassalazina, mesalazina); corticosteroides (prednisona, budesonida); tiopurinas (azatioprina); imunobiológicos (vedolizumabe, infliximabe) | Abordagem às diarreias, linha 162-165 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa.md,12,"Indicação cirúrgica na RCU | refratária ao tratamento medicamentoso, câncer colorretal, megacólon tóxico | Abordagem às diarreias, linha 168-169 | CONFIRMADO",
capsules/CASOS_CLINICOS/doenca_inflamatoria_intestinal_crohn_versus_retocolite_ulcerativa.md,13,"Indicação cirúrgica na DC | complicações: fístulas, abscessos, estenose, câncer | Abordagem às diarreias, linha 170 | CONFIRMADO",
capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,4,Professor responsável | Nomário Pedrosa Lacerda | Cronograma p.1 | CONFIRMADO,
capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,5,Módulo / disciplina | Saúde do Adulto II / Discussão de Casos Clínicos | Cronograma p.1 | CONFIRMADO,
capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,6,"Período/turmas | P7A e P7B, semestre 2025.1 | Cronograma p.1 | CONFIRMADO",
capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,7,Número de grupos por turma | 4 grupos | Cronograma p.1 | CONFIRMADO,
capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,8,Etapa 1 | Apresentação da disciplina + divisão de grupos (4) + apresentação do tema e divisão das etiologias por grupo | Cronograma p.1 | CONFIRMADO,
capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,9,Etapa 2 | Correção e ajustes dos casos clínicos elaborados pelos grupos 1 e 2 (depois repetida para grupos 3 e 4) | Cronograma p.1 | CONFIRMADO,
capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,10,"Etapa 3 | Apresentação da simulação dos grupos 1 e 2 (depois 3 e 4), com presença obrigatória de todos os grupos para assistir | Cronograma p.1 | CONFIRMADO",
capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,11,Etapa 4 | Feedback da atividade | Cronograma p.1 | CONFIRMADO,
capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,12,"Estrutura por turma | ciclo de 2 semanas (correção → apresentação) repetido duas vezes (grupos 1-2, depois grupos 3-4) + feedback ao final, intercalado com semanas de prova de outras disciplinas | Cronograma p.1 | CONFIRMADO",
capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,13,"Calendário Turma A (2025.1) | fevereiro-março: início 03/02, correção 10/02, simulação 17/02, prova 24/02, correção grupos 3-4 em 10/03, simulação em 17/03, feedback em 24/03 | Cronograma p.1 | CONFIRMADO (específico do semestre 2025.1 — datas não se repetem, estrutura sim)",
capsules/CASOS_CLINICOS/formato_avaliacao_discussao_casos_clinicos.md,14,"Calendário Turma B (2025.1) | abril-maio: início 07/04, correção 14/04, simulação 28/04 (feriado de Tiradentes intercalado), correção grupos 3-4 em 12/05, simulação em 19/05, feedback em 26/05 | Cronograma p.1 | CONFIRMADO (específico do semestre 2025.1)",
capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,4,"4 níveis anatômicos da fraqueza muscular | neurônio motor superior, neurônio motor inferior, junção neuromuscular, músculo | Casos_Clinicos_P7_1 p.16 | CONFIRMADO",
capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,5,"Ordem do diagnóstico diferencial de fraqueza muscular progressiva | 1) miastenia gravis/Sd. Lambert-Eaton; 2) deficiência de B12; 3) distúrbios hidroeletrolíticos; 4) miopatias; 5) endocrinopatias (DM, tireoide, adrenal); 6) fármacos (corticoide, hidroxicloroquina, estatina) | Casos_Clinicos_P7_1 p.16-17 | CONFIRMADO",
capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,6,Sinais de alerta em fraqueza muscular | fraqueza que se torna grave em dias/semanas; dispneia; incapacidade de levantar a cabeça (contra gravidade); sintomas bulbares (mastigar/falar/engolir); perda de deambulação | Casos_Clinicos_P7_1 p.16 | CONFIRMADO,
capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,7,CPK no caso-fonte (polimiosite) | 2525 U/L (referência 33-211) | Casos_Clinicos_P7_1 p.15 | CONFIRMADO,
capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,8,"Aldolase no caso-fonte | 8,2 (referência até 7,6) — discretamente elevada | Casos_Clinicos_P7_1 p.15 | CONFIRMADO",
capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,9,"Anti-AChR no caso-fonte | 0,2 (referência <0,4) — negativo, afasta miastenia | Casos_Clinicos_P7_1 p.15 | CONFIRMADO",
capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,10,Anti-Jo1 e anti-SRP no caso-fonte | anti-Jo1 negativo; anti-SRP não detectável | Casos_Clinicos_P7_1 p.15 | CONFIRMADO,
capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,11,"Vitamina B12 e função tireoidiana no caso-fonte | vitamina B12 564 (>300, normal); TSH 2,3, T4L 1,02 (normais) — afastam B12 e tireoide como causa | Casos_Clinicos_P7_1 p.15 | CONFIRMADO",
capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,12,"Eletrólitos no caso-fonte | Na 138, K 4,0, Ca 9,2, Mg 2,1, P 3,1 — todos normais, afastam distúrbio hidroeletrolítico | Casos_Clinicos_P7_1 p.15 | CONFIRMADO",
capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,13,RM de coxas no caso-fonte | edema/inflamação do reto femoral | Casos_Clinicos_P7_1 p.15 | CONFIRMADO,
capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,14,"Achados de EMG em miopatia | aumento da atividade insercional, fibrilações e ondas pontiagudas positivas; descargas espontâneas bizarras de alta frequência; unidades motoras polifásicas de baixa amplitude e curta duração | Casos_Clinicos_P7_1 p.16 | CONFIRMADO",
capsules/CASOS_CLINICOS/fraqueza_muscular_miastenia_polimiosite.md,15,"Achados de biópsia muscular em polimiosite | necrose das miofibrilas, fagocitose, núcleo grande com nucléolo proeminente, atrofia perifascicular, variação no tamanho das fibras, infiltrado inflamatório | Casos_Clinicos_P7_1 p.16 | CONFIRMADO",
