claim_id,capsule_id,statement,claim_type,criticality,population,curricular_context,transcription,curricular_alignment,clinical_validity,self_review_l1,independent_review,reviewer_id,reviewed_at,evidence_json,notes
claim:asth.severity-oxygen,capsule:eisca:asma_em_pediatria,"Em 6–11 anos, SpO2 integra gravidade e O2 é titulado para >=94%.",threshold,high,crianças 6–11 anos,Slide tem cortes divergentes.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Exacerbations 6–11"",""source_version_id"":""source-version:gina.strategy.2026""}]",L2 por agente independente; não equivale a revisão humana.
claim:asth.initial-concurrent,capsule:eisca:asma_em_pediatria,"SABA, O2 quando indicado e corticoide precoce são concorrentes; ipratrópio em grave.",treatment_sequence,high,crianças 6–11 anos,Material usa escada sequencial.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Exacerbations 6–11"",""source_version_id"":""source-version:gina.strategy.2026""}]",L2 por agente independente; não equivale a revisão humana.
claim:asth.ocs-dose,capsule:eisca:asma_em_pediatria,"Prednisolona 1–2 mg/kg/dia, máximo 40 mg/dia, 3–5 dias em 6–11 anos.",dose,high,crianças 6–11 anos,Slide traz esquemas divergentes por idade.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""OCS 6–11"",""source_version_id"":""source-version:gina.strategy.2026""}]",L2 por agente independente; não equivale a revisão humana.
claim:asth.niv,capsule:eisca:asma_em_pediatria,SpO2 isolada não indica VNI/IOT; evidência de VNI é fraca.,contraindication,high,crianças 6–11 anos,OSCE dizia Sat<94=VNI.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""NIV"",""source_version_id"":""source-version:gina.strategy.2026""}]",L2 por agente independente; não equivale a revisão humana.
claim:asth.magnesium,capsule:eisca:asma_em_pediatria,Magnésio IV não é rotina; considerar após falha inicial em crise grave.,treatment_sequence,high,crianças 6–11 anos,Slide posiciona em refratariedade.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Magnesium"",""source_version_id"":""source-version:gina.strategy.2026""}]",L2 por agente independente; não equivale a revisão humana.
claim:asth.under5-doses,capsule:eisca:asma_em_pediatria,Doses em gotas e cortes de FC do material para <=5 anos não foram validados.,dose,high,crianças <=5 anos,Tabelas curriculares divergentes.,confirmed,confirmed,quarantined,pending,not_reviewed,,,"[{""locator"":""seção específica não auditada"",""source_version_id"":""source-version:gina.strategy.2026""}]",Excluído de conduta atual.
claim:ais.definition,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,AVC/AIT usam definição tecidual; duração <24 h não basta.,other,high,adultos,Slide usa corte temporal de 24 h.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""definitions"",""source_version_id"":""source-version:aha-asa.ais.2026-01-26""}]",L2 por agente independente; não equivale a revisão humana.
claim:ais.ivt-window,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,"Alteplase ou tenecteplase podem ser usadas até 4,5 h em elegíveis.",time_window,high,adultos,Slide cita apenas alteplase.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Top Things 2"",""source_version_id"":""source-version:aha-asa.ais.2026-01-26""}]",L2 por agente independente; não equivale a revisão humana.
claim:ais.disabling,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,Déficit incapacitante pode ser elegível independentemente de NIHSS baixo.,threshold,high,adultos,Slide exige NIHSS >=4.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Top Things 2–3"",""source_version_id"":""source-version:aha-asa.ais.2026-01-26""}]",L2 por agente independente; não equivale a revisão humana.
claim:ais.unknown-onset,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,"Início desconhecido/4,5–9 h pode ser selecionado por DWI–FLAIR ou perfusão.",time_window,high,adultos,Slide trata início desconhecido como contraindicação.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Top Things 2"",""source_version_id"":""source-version:aha-asa.ais.2026-01-26""}]",L2 por agente independente; não equivale a revisão humana.
claim:ais.evt,capsule:eisa_ii:avc_isquemico_urgencia_trombolise_e_trombectomia,EVT até 24 h requer seleção; grande core não é indicação automática.,time_window,high,adultos,Material simplifica janela de 24 h.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Top Things 4–6"",""source_version_id"":""source-version:aha-asa.ais.2026-01-26""}]",L2 por agente independente; não equivale a revisão humana.
claim:li.ectr-recommended,capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,ECTR recomendada com função renal prejudicada e Li >4 ou sintomas graves independentemente do nível.,threshold,high,adultos,Slide usa cortes antigos.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Table 7"",""source_version_id"":""source-version:extrip.lithium.2015""}]",L2 por agente independente; não equivale a revisão humana.
claim:li.ectr-suggested,capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,"ECTR sugerida se Li >5, confusão significativa ou tempo estimado >36 h até Li <1.",threshold,high,adultos,Slide usa cortes antigos.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Table 7"",""source_version_id"":""source-version:extrip.lithium.2015""}]",L2 por agente independente; não equivale a revisão humana.
claim:li.stop-rebound,capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,Parar ECTR com Li <1 ou melhora e monitorar 12 h por rebote.,treatment_sequence,high,adultos,Ausente no material.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Table 7"",""source_version_id"":""source-version:extrip.lithium.2015""}]",L2 por agente independente; não equivale a revisão humana.
claim:li.charcoal,capsule:eism:transtorno_bipolar_e_estabilizadores_do_humor,Carvão ativado não adsorve lítio.,contraindication,high,adultos,Ausente no material.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""supportive care"",""source_version_id"":""source-version:extrip.lithium.2015""}]",L2 por agente independente; não equivale a revisão humana.
claim:vac.hpv,capsule:eisca:imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva,HPV4 rotina PNI 2026: dose única de 9 a 14a11m29d.,time_window,high,crianças/adolescentes Brasil,Slide 2021 usa sexo e duas doses.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""pp.45–46"",""source_version_id"":""source-version:ms.cnv.2026""}]",L2 por agente independente; não equivale a revisão humana.
claim:vac.meningococcal,capsule:eisca:imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva,menC aos 3/5 meses e reforço menACWY aos 12 meses.,treatment_sequence,high,crianças Brasil,Calendário antigo.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""pp.22–23"",""source_version_id"":""source-version:ms.cnv.2026""}]",L2 por agente independente; não equivale a revisão humana.
claim:vac.pneumococcal,capsule:eisca:imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva,VPC10→VPC20 está em transição e depende do histórico.,guideline_dependent,high,crianças Brasil,Calendário antigo.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""pp.17–21"",""source_version_id"":""source-version:ms.cnv.2026""}]",L2 por agente independente; não equivale a revisão humana.
claim:vac.dengue,capsule:eisca:imunizacoes_calendario_vacinal_imunizacao_ativa_e_passiva,"Dengue PNI 2026: 10–14a11m29d, duas doses com 3 meses.",time_window,high,crianças/adolescentes Brasil,Ausente no slide 2021.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""pp.48–49"",""source_version_id"":""source-version:ms.cnv.2026""}]",L2 por agente independente; não equivale a revisão humana.
claim:thi.prophylaxis,capsule:eism:abstinencia_alcoolica_delirium_tremens_wernicke,Profilaxia típica: tiamina 100 mg IV/IM/dia por 3–5 dias.,dose,high,adultos em risco,Material traz doses divergentes.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Recommendation V.7"",""source_version_id"":""source-version:asam.alcohol-withdrawal.2020""}]",L2 por agente independente; não equivale a revisão humana.
claim:thi.glucose-order,capsule:eism:abstinencia_alcoolica_delirium_tremens_wernicke,Não atrasar glicose na hipoglicemia; tiamina antes/concomitante quando possível.,treatment_sequence,high,adultos em risco,Material diz sempre antes.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Recommendation V.7"",""source_version_id"":""source-version:asam.alcohol-withdrawal.2020""}]",L2 por agente independente; não equivale a revisão humana.
claim:thi.wernicke-high-dose,capsule:eism:abstinencia_alcoolica_delirium_tremens_wernicke,Alta dose para Wernicke suspeita depende do protocolo; não há dose universal resolvida.,dose,high,adultos com Wernicke suspeita,Fontes curriculares divergem.,confirmed,confirmed,quarantined,pending,not_reviewed,,,"[{""locator"":""Recommendation V.7"",""source_version_id"":""source-version:asam.alcohol-withdrawal.2020""}]",Excluído de conduta atual.
claim:clo.anc-us,capsule:eism:antipsicoticos_sep_e_snm,"Rótulo FDA 2025: ANC semanal 0–6m, quinzenal 6–12m, mensal depois.",guideline_dependent,high,adultos nos EUA,Material diz quinzenal indefinido.,confirmed,confirmed,quarantined,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Table 2"",""source_version_id"":""source-version:fda.clozapine-label.2025""}]",L2 por agente independente; não equivale a revisão humana.
claim:clo.thresholds-us,capsule:eism:antipsicoticos_sep_e_snm,"Limiar ANC FDA: normal >=1500, leve 1000–1499, moderada 500–999, grave <500.",threshold,high,adultos nos EUA,Material não diferencia jurisdição.,confirmed,confirmed,quarantined,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Table 2"",""source_version_id"":""source-version:fda.clozapine-label.2025""}]",L2 por agente independente; não equivale a revisão humana.
claim:clo.rems-us,capsule:eism:antipsicoticos_sep_e_snm,"REMS EUA foi removido em 2025, mas monitorização permanece; Brasil não resolvido.",guideline_dependent,high,adultos nos EUA,Material anterior ao fim do REMS.,confirmed,confirmed,quarantined,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""documento integral"",""source_version_id"":""source-version:fda.clozapine-rems.2025-06-13""}]",L2 por agente independente; não equivale a revisão humana.
claim:bf.duration,capsule:eisca:aleitamento_materno,"Iniciar na primeira hora, exclusivo 6m, continuar 2 anos ou mais.",guideline_dependent,high,mães e lactentes,Três fontes curriculares.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Recommendations"",""source_version_id"":""source-version:who.iycf.2026-08-04""}]",L2 por agente independente; não equivale a revisão humana.
claim:bf.hiv-htlv,capsule:eisca:aleitamento_materno,HIV e HTLV contraindicam aleitamento no Brasil conforme política nacional.,contraindication,high,mães e lactentes no Brasil,Material curricular de aleitamento.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""página temática"",""source_version_id"":""source-version:ms.htlv.current""}]",L2 por agente independente; não equivale a revisão humana.
claim:bf.medicines,capsule:eisca:aleitamento_materno,Listas antigas de fármacos não devem decidir suspensão; avaliar por fármaco/dose/contexto.,contraindication,high,mães e lactentes,Listas curriculares antigas.,confirmed,confirmed,quarantined,pending,not_reviewed,,,"[{""locator"":""medicamentos"",""source_version_id"":""source-version:ms.aleitamento.current""}]",Excluído de conduta atual.
claim:sem.vitals,capsule:eisca:semiologia_pediatrica,Faixas exatas de FC/FR/PA da aula não foram validadas em fonte clínica atual.,threshold,high,crianças/adolescentes,Tabelas semio_PED.,confirmed,confirmed,quarantined,pending,not_reviewed,,,"[{""locator"":""tabelas"",""source_version_id"":""source-version:curricular.semio-ped.c241597932""}]",Excluído de conduta atual.
claim:osce.synthetic-rubric,capsule:osce:formato_roteiro_osce_p7,"Pesos, imperdoáveis e checklist reconstruído não são oficiais sem instrumento aplicado.",other,high,estudantes,Orientações gerais OSCE.,confirmed,confirmed,quarantined,pending,not_reviewed,,,"[{""locator"":""orientações"",""source_version_id"":""source-version:curricular.osce.general""}]",Excluído de conduta atual.
claim:thi.glucose-order-coma,capsule:eisa_ii:coma_e_rebaixamento_do_nivel_de_consciencia,"No coma hipoglicêmico, não atrasar glicose; administrar tiamina prontamente em pessoa de risco.",treatment_sequence,high,adultos com coma e risco de deficiência de tiamina,Cápsula reproduzia ordem rígida tiamina antes/junto.,confirmed,confirmed,current,completed,reviewed_l2,agent:clinica_reparos:2026-08-20,2026-08-20T12:00:00-03:00,"[{""locator"":""Recommendation V.7"",""source_version_id"":""source-version:asam.alcohol-withdrawal.2020""}]","Cobertura cruzada; L2 por agente, não humano."
claim:diarreia-planos.zinco-dose-idade,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,Suplementacao de zinco na diarreia aguda: <6 meses 10 mg/dia; >=6 meses (ate 5 anos) 20 mg/dia; duracao 10 a 14 dias.,dose,high,criancas <5 anos com diarreia aguda,"Capsula cita 'Diarreias na Infancia' (slide Liane Viana) p.20, com duracao fixa de 14 dias.",confirmed,confirmed,current,completed,reviewed_l2,agent:qualificacao_p7:2026-08-20-claude,2026-08-20T00:00:00-03:00,"[{""locator"":""secao Plano A, zinco por idade"",""source_version_id"":""source-version:medcof.diarreia-2023.accessed-2026-08-20""},{""locator"":""secao Plano A (Domiciliar), zinco"",""source_version_id"":""source-version:estrategia-med.diarreia-2023.accessed-2026-08-20""}]","Duas fontes secundarias independentes (2026-08-20) convergem em 10mg/<6m e 20mg/>=6m, ambas com duracao '10-14 dias'. A capsula registra ponto fixo '14 dias' (dentro do intervalo correto, nao e erro de seguranca) — recomenda-se ajustar o texto da capsula para '10 a 14 dias' na proxima edicao para precisao total. Nao verificado contra o PDF primario MS 2023 (sem OCR neste ambiente)."
claim:diarreia-planos.plano-c-expansao-por-idade,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,"Plano C, expansao venosa: <1 ano = 30 mL/kg em 1h + 70 mL/kg em 5h; >=1 ano = 30 mL/kg em 30min + 70 mL/kg em 2h30 (SF 0,9% ou Ringer lactato).",dose,high,criancas com desidratacao grave (Plano C),"Capsula cita 'Diarreias na Infancia' (slide Liane Viana) p.24, recomendacao MS.",confirmed,confirmed,current,completed,reviewed_l2,agent:qualificacao_p7:2026-08-20-claude,2026-08-20T00:00:00-03:00,"[{""locator"":""secao Plano C (Internacao), volumes/tempos por idade"",""source_version_id"":""source-version:estrategia-med.diarreia-2023.accessed-2026-08-20""}]","Correspondencia EXATA (mesmos numeros e mesmo corte etario <1/>=1 ano) com fonte secundaria de 2026-08-20 que descreve a atualizacao MS 2023 — inclusive o corte etario reformulado de <5/>=5 anos (protocolo antigo) para <1/>=1 ano (2023), que a capsula ja usa corretamente. Corroboracao mais forte deste lote. RN/cardiopata grave (10 mL/kg em 30min) e as indicacoes objetivas de Plano C NAO aparecem nesta fonte secundaria — permanecem pending, nao foram promovidas."
claim:diarreia-planos.plano-b-falha-6h,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,"Plano B: se sem melhora apos 6 horas de TRO supervisionada, encaminhar para internacao/Plano C.",treatment_sequence,high,criancas em TRO supervisionada (Plano B),Capsula cita 'Diarreias na Infancia' (slide Liane Viana) p.22.,confirmed,confirmed,current,completed,reviewed_l2,agent:qualificacao_p7:2026-08-20-claude,2026-08-20T00:00:00-03:00,"[{""locator"":""secao Plano B, reavaliacao"",""source_version_id"":""source-version:medcof.diarreia-2023.accessed-2026-08-20""},{""locator"":""secao Plano B, reavaliacao"",""source_version_id"":""source-version:estrategia-med.diarreia-2023.accessed-2026-08-20""}]",Duas fontes secundarias independentes (2026-08-20) confirmam o limiar de 6h textualmente identico ao da capsula.
claim:diarreia-planos.ondansetrona-dose-idade,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,"Ondansetrona para vomitos persistentes: 6-24 meses ~2mg (capsula registra 0,2 mg/kg/dose); 2-10 anos 4mg; >10 anos 8mg.",dose,high,criancas com vomitos persistentes em Plano B,Capsula cita 'Diarreias na Infancia' (slide Liane Viana) p.22.,confirmed,confirmed,quarantined,completed,reviewed_l2,agent:qualificacao_p7:2026-08-20-claude,2026-08-20T00:00:00-03:00,"[{""locator"":""secao Plano B, ondansetrona por idade"",""source_version_id"":""source-version:estrategia-med.diarreia-2023.accessed-2026-08-20""}]","QUARANTINED para conduta assertiva na faixa 6-24 meses: a capsula usa dose por peso (0,2 mg/kg/dose) enquanto a fonte secundaria do protocolo MS 2023 usa dose fixa por faixa etaria (2mg). Para uma crianca tipica de 8-12kg os dois convergem numericamente (0,2x8=1,6mg a 0,2x12=2,4mg, em torno de 2mg) — nao ha evidencia concreta de erro de dose, mas as duas formas nao foram reconciliadas contra uma fonte primaria unica nesta sessao (sem OCR/leitura de PDF disponivel). Nao usar nenhuma das duas cegamente em prescricao real sem checar o documento MS 2023 original ou calcular pelo peso real do paciente. As faixas 2-10 anos (4mg) e >10 anos (8mg) SAO identicas entre capsula e fonte secundaria, sem divergencia — a quarentena e especifica da faixa 6-24 meses."
claim:diarreia-planos.classificacao-por-contagem-sinais,capsule:eisca:diarreia_aguda_desidratacao_planos_reidratacao,"Classificacao do estado de hidratacao (MS 2023) por CONTAGEM objetiva de sinais (estado geral, olhos, boca/lingua, pulso, perda de peso), nao por impressao clinica global; grave inclui perda de peso >10%.",threshold,high,criancas com diarreia aguda,"Capsula cita 'Diarreias na Infancia' (slide Liane Viana) p.17, tabela MS 2023.",confirmed,confirmed,current,completed,reviewed_l2,agent:qualificacao_p7:2026-08-20-claude,2026-08-20T00:00:00-03:00,"[{""locator"":""secao classificacao de hidratacao"",""source_version_id"":""source-version:estrategia-med.diarreia-2023.accessed-2026-08-20""}]","Fonte secundaria de 2026-08-20 confirma o metodo de contagem por 5 dominios (estado geral/olhos/boca-lingua/pulso/perda de peso) e o corte de perda de peso >10% para grave, consistente com a mudanca MS 2023 (pulso simplificado para cheio/fraco-ausente, eliminando categoria intermediaria). O detalhe fino de QUAIS sinais especificos levam asterisco (sede ausente/bebe pouco, pulsos fracos/ausentes, sensorio letargico/comatoso) nao foi confirmado item a item contra esta fonte — permanece o texto original da capsula, nao alterado, com clinical_validity current por corresponder estruturalmente as duas fontes."
