tema_canonico,disciplina,especialidade,unidade,prioridade,forca_fonte,risco_clinico,evidencia_de_prova,source_ids,nota
"Cefaleias — classificação, sinais de alarme e tratamento das primárias",CASOS_CLINICOS,Casos Clínicos / Neurologia,A_DEFINIR,alta,forte,alto,True,CASOS_CL_NICOS_RESUMO__249c11a613|Casos_Cli_nicos_P7_1__4f3f459b20|Co_pia_de_faculdade_de_medicina_nova_esperanc_a_1___eaddb424fb|FACILITA_OSCE_1___6c6a714b3e,"FATO: caso-índice do slide = homem 26 anos, cefaleia frontal, febre, vômito, convulsão, afasia de Broca e ptose à esquerda, com sinusopatia e TCE recente; TC mostrou hipodensidade frontal esquerda (ABSCESSO) + higroma — armadilha clássica de cefaleia secundária. Enxaqueca: unilateral, pulsátil, 4-72 h, foto/fonofobia, aura; agudo com analgésico/AINE/triptano; profilaxia (>15 dias/mês por 3 meses) com β-bloqueador, amitriptilina, topiramato, valproato, verapamil, inibidores de CGRP, com precauções explícitas por comorbidade. Salvas: dor orbitária unilateral 15-180 min, 1-8 crises/dia, sinais au"
Hemorragia subaracnoide e hipertensão intracraniana,CASOS_CLINICOS,Casos Clínicos / Neurologia-Emergência,A_DEFINIR,alta,media,alto,True,Casos_Cli_nicos_P7_1__4f3f459b20|Co_pia_de_faculdade_de_medicina_nova_esperanc_a_1___eaddb424fb|FACILITA_OSCE_1___6c6a714b3e|OSCE_NEUROLOGIA__2cfa60427a,"FATO: HSA = cefaleia de forte intensidade, 'a pior dor da vida', mais comum em mulheres, hipertensas e tabagistas; TC de crânio SEM CONTRASTE primeiro, punção lombar se TC negativa com alta suspeita, angio-RM/angio-TC para o aneurisma; encaminhar a serviço de neurocirurgia. HIC: PIC >20 mmHg (normal até 15); crânio = 80% cérebro, 10% LCR, 10% sangue; causas tumor/abscesso, edema, ↑produção ou ↓absorção de LCR, ↓retorno venoso; clínica com cefaleia intensa, alteração de consciência, paresia de nervos cranianos, convulsão, TRÍADE DE CUSHING (hipertensão + bradicardia + depressão respiratória) e "
"Fraqueza muscular — miastenia gravis, polimiosite e diagnóstico diferencial",CASOS_CLINICOS,Casos Clínicos / Neurologia-Reumatologia,A_DEFINIR,alta,fraca,medio,True,2_Avaliac_a_o_Casos_Cli_nicos_TURMA_B_2021_1__7bf703af15|Casos_Cli_nicos_P7_1__4f3f459b20,"FATO parcial (anotação, OCR degradado): diagnósticos diferenciais listados = miastenia, hipotireoidismo, lúpus, deficiência de cortisol, distúrbio eletrolítico; nota de que 'a mialgia é o principal' na polimiosite; anotação de que o que a professora não falou não precisa estudar. EVIDÊNCIA DE PROVA 2021 Q8: homem 46 anos com fraqueza facial, disartria, diplopia, fraqueza 3/5 que PIORA COM O ESFORÇO e alteração da mirada conjugada → junção neuromuscular. LACUNA: sem material didático — apenas anotação manuscrita e prova."
"Tontura e vertigem — VPPB, Dix-Hallpike e diagnóstico diferencial",CASOS_CLINICOS,Casos Clínicos / Otorrinolaringologia-Neurologia,A_DEFINIR,alta,fraca,medio,True,2_Avaliac_a_o_Casos_Cli_nicos_TURMA_B_2021_1__7bf703af15|Casos_Cli_nicos_P7_1__4f3f459b20,"EVIDÊNCIA DE PROVA (2021, TURMA B): Q2 — mulher 55 anos com vertigem rotatória breve ao movimentar a cabeça, exames de imagem e EEG normais, Dix-Hallpike positivo à direita → VPPB. Q5 — 'a causa mais prevalente de vertigem é a VPPB, etiologia idiopática, diagnóstico clínico, tratamento não medicamentoso'. LACUNA: nenhum slide, resumo ou capítulo de vertigem no corpus da frente — o conteúdo terá de vir da frente EISA II (Otorrinolaringologia) ou de fonte externa validada."
"Abordagem à dispneia — causas, sinais de alerta e investigação",CASOS_CLINICOS,Casos Clínicos / Pneumologia-Cardiologia,A_DEFINIR,media,media,alto,False,CASOS_CL_NICOS_RESUMO__249c11a613|Casos_Cli_nicos_P7_1__4f3f459b20,"FATO: causas agudas (asma, corpo estranho, pneumotórax, TEP, IAM, ICC) versus crônicas (DPI, DPOC, derrame, restritiva, ICC, HAP, angina, anemia, descondicionamento). Sinais de alerta listados: dispneia em repouso durante o exame, ↓nível de consciência ou agitação/confusão, uso de musculatura acessória com excursão de ar reduzida, dor torácica, crepitações, perda ponderal, sudorese noturna, palpitações. Interpretação: sibilos = asma/DPOC; estridor = obstrução extratorácica; crepitação = IC esquerda, DPI ou consolidação. Exames: oximetria, RX de tórax, ECG, gasometria, angio-TC. LACUNA: nenhum "
Erisipela,EISA_II,Angiologia,III_UNIDADE,alta,fraca,alto,True,09_Erisipela_e_linfedema__89cace7b3b|APOSTILA_SA_II_P7___e43cc7bc21|Erisipela_III_unidade__1b91c3dec3|resumed_sa_de_do_adulto_2__f8fd0b8d31|resumo_edine_ERISIPELA__71ff949837,RESUmed cap. 24. ANGIOLOGIA não tem pastas de prova em EISA II — a unidade III vem só da árvore Resumos (banner interno 'ANGIOLOGIA – III UNIDADE' concorda). | FONTE DA AULA INACESSÍVEL: '09 - Erisipela e linfedema.pdf' (13 pg) é ESCANEADA com 0 chars — exige VISÃO. Doses lidas na apostila: simples = penicilina G benzatina 1.200.000 UI IM a cada 3 dias (4 doses); bolhosa/necrosante = penicilina cristalina 5.000.000 UI EV 6/6h; alergia = eritromicina 500 mg VO 12/12h ou clindamicina 600 mg EV 6/6h. | RECOMENDAÇÃO ao sintetizador: realocar para a frente de Angiologia. Registrado aqui apenas para que nenhum source_id do dossiê fique órfão.
Linfedema,EISA_II,Angiologia,III_UNIDADE,media,media,baixo,False,09_Erisipela_e_linfedema__89cace7b3b|APOSTILA_SA_II_P7___e43cc7bc21,Mesma fonte ESCANEADA (0 chars) da erisipela. Ciclo erisipela↔linfedema é o conceito central.
Pé diabético,EISA_II,Angiologia/Cirurgia Vascular,II_UNIDADE,alta,fraca,alto,False,15_PA_DiabA_tico__4ce9f782de|APOSTILA_SA_II_P7___e43cc7bc21|Pe_diabe_tico_vascular_II_unidade__f5f690b7e4|resumo_edine_PA_DIABA_TICO__4a12db1c24,"LACUNA: 14 de 65 provas não têm camada de texto, então o 'sem hit' é evidência FRACA de ausência, não prova. NOMENCLATURA: a pasta chama-se 'VASCULAR' na II unidade e 'Angiologia' na III — mesma especialidade, dois nomes. ANGIOLOGIA em EISA II não tem pastas de prova. | CONFLITO DE UNIDADE: sem pasta de prova na Angiologia; 'Pé diabético - vascular' rotulado 'II unidade' em outra pasta. Ponte forte com Endócrino (complicações crônicas do DM)."
Diabetes mellitus gestacional,EISA_II,Endocrinologia,A_DEFINIR,media,fraca,alto,False,APOSTILA_SA_II_P7___e43cc7bc21,LACUNA: fonte única (apostila).
"Diabetes mellitus: conceito, classificação e diagnóstico",EISA_II,Endocrinologia,I_UNIDADE,alta,forte,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|Diabetes_1_diagno_stico_classificac_a_o_e_quadro_cli_nico_I___7985d6db11|Diabetes_5___828857ad38|Diabetes_mellitus_classificac_a_o_e_diagno_stico__df17fdabf7|Diabetes_pdf__16172942d8|Dm_conceito_diagno_stico_classificac_a_o_2019_FAMENE__5443174de5|Endocrino_DM_diag_class_quadro_clinico__16859b52cf|resumed_sa_de_do_adulto_2__f8fd0b8d31,"ATENÇÃO À PEGADINHA da devolutiva 2025.1: TOTG de 1 HORA ≥209 mg/dL não é critério clássico — a alternativa correta explorava a leitura de 2 horas. Referência oficial: Diretriz SBD 2024 + Lúcio Vilar 7ed. | Um dos poucos temas onde as duas árvores CONCORDAM. Cobre fisiopatologia, 5 categorias, autoanticorpos, estágios do DM1, octeto, DMG, critérios e fatores que interferem na HbA1c."
"Diabetes: complicações agudas e crônicas (CAD, EHH, hipoglicemia)",EISA_II,Endocrinologia,I_UNIDADE,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|Complicac_o_es_DM_pdf__d5ec47a8ee|Diabetes_complica_es_agudas_e_cr_nicas_docx__560f1efbc4|Diabetes_complicac_o_es_agudas_e_cronicas___e78f327c9d|Endocrino_DM_Complicac_o_es_da_DM__c729bbe6b1|resumed_sa_de_do_adulto_2__f8fd0b8d31,"LACUNA CRÍTICA DA MINHA FRENTE: NÃO há arquivo de complicações agudas do DM na árvore Resumos das Unidades, apesar de haver TRÊS arquivos de diabetes na I unidade. É o buraco mais perigoso do mapa — cobertura só pelo RESUmed cap. 30 (autoridade média). Unidade é INFERÊNCIA, não FATO da minha árvore. | O SLIDE da aula (Diabetes- complicações agudas e cronicas, 15 pg) é ESCANEADA com 2 chars — conteúdo inacessível, exige VISÃO. Sustentação atual é só resumo de terceiros + apostila (p.180+)."
Diabetes: metas de tratamento e terapia não insulínica,EISA_II,Endocrinologia,I_UNIDADE,alta,forte,alto,True,1_Farmacoterapia_para_Diabetes_Mellitus__caa50aba48|2025_1_Diabetes_metas_e_tto_n_o_insul_nico__083a9449f2|APOSTILA_SA_II_P7___e43cc7bc21|Diabetes_2_metas_de_tratamento_e_hipoglicemiantes_orais_I_un__6073fa6820|Endocrino_DM_tto_da_DM2__5a8d25ac57|Farmacoterapia_no_DM_1_parte_I_unidade__09d4d95fe9|Farmacoterapia_no_DM_2_parte_I_unidade__b7dabc93a3|Tratamento_de_DM_II_pdf__19261fd73c|resumed_sa_de_do_adulto_2__f8fd0b8d31,O slide 2025.1 (100 pg) está marcado ESCANEADA mas recuperou 10.912 chars legíveis — utilizável. Fronteira com FARMACOLOGIA: a apostila coloca 'Farmacoterapia do diabetes' em capítulo próprio (p.89). | EIXO DUPLO: os dois arquivos 'Farmacoterapia no DM' têm banner 'SAÚDE DO ADULTO II – FARMACOLOGIA – I UNIDADE' E correspondem à 1ª prova de FARMACOLOGIA (pasta FARMACOLOGIA/Slides Aulas/Slides Primeira Prova). Aqui os dois eixos coincidem — é o único caso de farmaco em que coincidem.
Doenças das paratireoides (hiperparatireoidismo) e osteoporose,EISA_II,Endocrinologia,III_UNIDADE,alta,forte,alto,True,2021_2_Doenc_as_das_Paratireoides_e_Osteoporose__532c60e94d|APOSTILA_SA_II_P7___e43cc7bc21|AULA_OSTEOPOROSE_E_HPTP_QUESTIONA_RIO__4dceb85a10|Doenc_as_das_Paratireoides_e_Osteoporose_2___3eaa869450,CONFLITO DE UNIDADE: há slide 2021.2 arquivado em 'Slides Primeira Prova' e slide (2) em 'Slides Terceira Prova' — o tema migrou de unidade entre semestres.
Hiperaldosteronismo primário e feocromocitoma,EISA_II,Endocrinologia,IV_UNIDADE,alta,media,alto,True,2025_1_Hiperaldosteronismo_prim_rio_e_feocromocitoma__d986fd0620|APOSTILA_SA_II_P7___e43cc7bc21|Endocrino_HIPERALDOSTERONISMO_E_FEOCROMOCITOMA__c676c30b7c|Hiperaldosteronismo_e_Feocromocitoma__e3dadc3b4b|resumed_sa_de_do_adulto_2__f8fd0b8d31,"LACUNA DE UNIDADE na minha frente. Evidência externa: EISA II/ENDOCRINOLOGIA/Slides Aulas/Slides QUARTA Prova/'2025.1_Hiperaldosteronismo primário e feocromocitoma.pdf' → tema de IV UNIDADE, que a árvore Resumos não cobre. RESUmed cap. 2. | Erro que mata: bloqueio alfa ANTES do beta no preparo pré-operatório do feocromocitoma. Referência oficial: Endocrine Society Guideline 2016 + Lúcio Vilar 7ed."
"Hiperandrogenismo: hiperplasia adrenal congênita, SOP e tumor virilizante",EISA_II,Endocrinologia,III_UNIDADE,alta,forte,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|Endrocrino_HIPERANDROGENISMO_1___5d35fd472c|HIPERANDROGENISMO_20250415_152135_0000__4e65401348|Hiperandrogenismo_III_unidade__1a314ecc51|Hiperandrogenismo__87fcbd7d4c|resumed_sa_de_do_adulto_2__f8fd0b8d31,"Um dos poucos temas com unidade duplamente confirmada E slide de 2025. Alta confiança. | Consolidei aqui os itens da apostila 'Hiperandrogenismo' (p.208), 'SOP' (p.211) e 'Tumores virilizantes' (p.213) — são a mesma aula."
Hiperfunção hipofisária,EISA_II,Endocrinologia,IV_UNIDADE,alta,media,medio,False,APOSTILA_SA_II_P7___e43cc7bc21|HIPERFUN_O_HIPOFIS_RIA_PARTE_01__0c915df866,LACUNA: falta 'PARTE 02' do slide. Nenhum resumo dedicado.
Hiperplasia adrenal congênita,EISA_II,Endocrinologia,III_UNIDADE,alta,media,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|HIPERANDROGENISMO_20250415_152135_0000__4e65401348,Erro que mata: forma clássica perdedora de sal com hipotensão grave por hipoaldosteronismo + hipocortisolismo no RN.
Hipertireoidismo e tireotoxicose,EISA_II,Endocrinologia,II_UNIDADE,alta,media,alto,True,ANOTAC_O_ES_hipertireoidismo__d7d2480ff0|APOSTILA_SA_II_P7___e43cc7bc21|Endocrino_HIPERTIREOIDISMO__35874c30b5|HIPERTIREOIDISMO__6e9927aae4|Hipertireoidismo_docx__d25177aacc|resumed_sa_de_do_adulto_2__f8fd0b8d31,"O slide da aula (HIPERTIREOIDISMO, 21 pg) é ESCANEADA de MANUSCRITO — os 2012 chars extraídos são OCR corrompido e NÃO devem ser citados como conteúdo. Exige VISÃO. | Arquivo sem banner interno de unidade (só 'ANOTAÇÕES – HIPERTIREOIDISMO'). Só 5 pgs — para dose de tionamida e conduta na crise tireotóxica a fonte é INSUFICIENTE; complementar pelo slide do professor (fora da minha frente)."
Hipoparatireoidismo e hipocalcemia,EISA_II,Endocrinologia,III_UNIDADE,media,media,alto,False,APOSTILA_SA_II_P7___e43cc7bc21|Doenc_as_das_Paratireoides_e_Osteoporose_2___3eaa869450,Não tem material dedicado; vive dentro do slide de paratireoides.
Hipopituitarismo (hipofunção hipofisária),EISA_II,Endocrinologia,IV_UNIDADE,alta,forte,alto,False,2025_1_HIPOPITUITARISMO__1f445bfa8d|APOSTILA_SA_II_P7___e43cc7bc21|Endocrino_HIPOPTUITARISMO__d315f39edb,Erro que mata: repor levotiroxina antes de glicocorticoide precipita crise adrenal.
"Hipotireoidismo (incluindo subclínico, gestação e idoso)",EISA_II,Endocrinologia,II_UNIDADE,alta,forte,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|HIPOTIREOIDISMO_2025_1__82e83b6322|Hipotireoidismo_II_unidade__abb7fa5c58|Hipotireoidismo_pdf_1___af4adf55d6|Hipotireoidismo_pdf__d416805cb5|resumed_sa_de_do_adulto_2__f8fd0b8d31,"RESUmed cap. 21 acrescenta TIREOIDITES, que NÃO aparecem como tema próprio na árvore de unidades — lacuna parcial declarada. | Risco alto pela dose/titulação de levotiroxina e pelo coma mixedematoso."
Insulinoterapia no DM1 e DM2,EISA_II,Endocrinologia,I_UNIDADE,alta,forte,alto,True,APOSTILA_SA_II_P7___e43cc7bc21|Diabetes_3_insulinoterapia_I_unidade__6827ea5dfc|Diabetes_mellitus_insulinoterapia__b65899b766|Farmacoterapia_no_DM_2_parte_I_unidade__b7dabc93a3|Insulinoterapia_1___475cb4442b|Insulinoterapia_pdf__961c14c9a3|resumed_sa_de_do_adulto_2__f8fd0b8d31,"FATO: perfis de ação, 5 opções de lenta, 4 pré-misturas, etapas DM2 e DM1, basal-bolus, efeitos colaterais, hiperglicemia matinal, homogeneização das suspensões. RESUmed cap. 31 (INSULINIZAÇÃO DO DIABETES) reforça. | Camada de precisão obrigatória: dose, técnica de aplicação, armazenamento (2-8°C, não congelar) e correção de hipoglicemia."
"Manejo clínico ambulatorial do DM (avaliação inicial, seguimento, anamnese endócrina)",EISA_II,Endocrinologia,I_UNIDADE,media,media,medio,True,Casos_cli_nicos_Prof_Narriane_Chaves__f0a6616ad6|Oficina_Manejo_Cli_nico_do_DM__48bca328b6|ROTEIRO_DE_ANAMNESE_ENDO_CRINO__21b691b7d9,"Casos_cli_nicos_Prof_Narriane_Chaves é literalmente 'AVALIAÇÃO PRÁTICA/ENDOCRINOLOGIA' — tratar como evidência de prova prática/OSCE, não como material didático."
Nódulos tireoidianos e câncer de tireoide,EISA_II,Endocrinologia,II_UNIDADE,alta,media,medio,True,ANOTAC_O_ES_ca_ncer_e_no_dulo_da_tireoide__e5088007bc|APOSTILA_SA_II_P7___e43cc7bc21|Endocrino_NO_DULOS_BENIGNOS_E_MALIGNOS_DA_TIREOIDE__c839df0ce4|N_dulos_benignos_e_malignos_da_tireoide__b350e1cf3f|No_dulos_benignos_e_malignos_da_tireoide__0b509e98ff|Slides_N_dulos_CA_de_tireoide_sem_cuca_s_notes___bd502a2745|n_dulos_benignos_e_malignos_da_tireoide_1___904e9ae7fb|resumed_sa_de_do_adulto_2__f8fd0b8d31,O slide da aula (8 pg) é ESCANEADA com 0 chars — inacessível. Cobertura vem inteiramente de resumos e da apostila. | ATENÇÃO: um único arquivo contém DOIS temas (nódulos + câncer de tireoide) — desmembrei em dois temas canônicos com o mesmo source_id. O arquivo NÃO tem banner interno de unidade; a unidade vem só da pasta. RESUmed cap. 4. | RESUmed traz DUAS entradas: cap. 4 (nódulos benignos e malignos) e cap. 22 (ANATOMIA PATOLÓGICA DO CÂNCER DE TIREOIDE) — a segunda é de Patologia e não tem contraparte na árvore de unidades. LACUNA parcial.
Obesidade e síndrome metabólica,EISA_II,Endocrinologia,III_UNIDADE,alta,media,medio,True,APOSTILA_SA_II_P7___e43cc7bc21|Endocrino_OBESIDADE_E_SA_NDROME_METABA_LICA__79c20cd26e|Obesidade_e_Sind_Metabo_lica__bd2e4b03f6|Sd_metab_lica__8e5c3c8899|resumed_sa_de_do_adulto_2__f8fd0b8d31,"LACUNA DE UNIDADE. A fonte de diabetes (Diabetes 2) menciona que ~90% dos DM2 têm síndrome metabólica associada, mas não desenvolve o tema. | LACUNA: nenhum slide de aula na pasta ENDOCRINOLOGIA, apesar de ser tema com 3 questões numa única prova."
"Farmacologia das dislipidemias — estatinas, ezetimiba, fibratos, resinas, inibidores de PCSK9 e inclisiran",EISA_II,Farmacologia / Cardiologia-Endocrinologia,IV_UNIDADE,alta,forte,alto,True,Farmacoterapia_das_dislipidemias_III_unidade__cae4ec9561|P7_FAMENE_FARMACOLOGIA_DAS_DISLIPIDEMIAS_2025__766492937d|resumed_sa_de_do_adulto_2__f8fd0b8d31,"FATO: estatinas ↓LDL 20-55%, ↓TG 8-34%, ↑HDL 2-10%; adversos miopatia/rabdomiólise (monitorar CK) e ↑transaminases reversível. Ezetimiba ↓LDL 20%. Fibratos ↓TG 30-50% e são droga de escolha na hipertrigliceridemia grave >500 mg/dL (prevenção de pancreatite); genfibrozila ↓metabolismo das estatinas e ↑risco de miopatia — fenofibrato é o mais seguro em associação. iPCSK9 SC ↓60% LDL isolado, ↓73% com estatina, ↓30-40% Lp(a); inclisiran (siRNA) SC 1x/6 meses ↓52% LDL. Ácido bempedoico ↓30% (50% com ezetimiba), adversos gota/colelitíase/↑ácido úrico. Lomitapida (inibidor de MTP) só para HF homozig | MESMO CONFLITO DE EIXO: pasta/banner = III UNIDADE de EISA II; slide em FARMACOLOGIA/Slides QUARTA Prova/'P7 - FAMENE - FARMACOLOGIA DAS DISLIPIDEMIAS 2025.pdf'. RESUmed cap. 5."
